UID          PID    PPID  C STIME TTY          TIME CMD
root         847       1  0 12:09 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog       852       1  0 12:09 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
avahi        879     808  0 12:09 ?        00:00:00 avahi-daemon: chroot helper
root         882       1  0 12:09 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         886       1  0 12:09 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         927       1  0 12:09 ?        00:00:00 /usr/sbin/ModemManager
root        1036       1  0 12:09 ?        00:00:00 /usr/sbin/cupsd -l
root        1041       1  0 12:09 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp          1044    1036  0 12:09 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
cups-br+    1134       1  0 12:11 ?        00:00:00 /usr/sbin/cups-browsed
root        1137       1  0 12:11 ?        00:00:00 /usr/sbin/cron -f -P
kernoops    1142       1  0 12:11 ?        00:00:00 /usr/sbin/kerneloops --test
root        1150       1  0 12:11 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
kernoops    1151       1  0 12:11 ?        00:00:00 /usr/sbin/kerneloops
root        1157       1  0 12:11 ?        00:00:00 /usr/sbin/gdm3
root        1166       1  0 12:11 ?        00:00:03 /usr/libexec/fwupd/fwupd
root        1183       1  0 12:11 ?        00:00:00 /usr/libexec/upowerd
root        1208       1  0 12:11 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        1231       2  0 12:11 ?        00:00:00 [psimon]
rtkit       1260       1  0 12:11 ?        00:00:00 /usr/libexec/rtkit-daemon
colord      1354       1  0 12:11 ?        00:00:00 /usr/libexec/colord
root        1641       1  0 12:11 ?        00:00:03 /usr/sbin/spice-vdagentd
root        1779    1157  0 13:01 ?        00:00:00 gdm-session-worker [pam/gdm-password]
mcoco       1791       1  0 13:01 ?        00:00:01 /usr/lib/systemd/systemd --user
mcoco       1795    1791  0 13:01 ?        00:00:00 (sd-pam)
mcoco       1805    1791  0 13:01 ?        00:00:01 /usr/bin/pipewire
mcoco       1806    1791  0 13:01 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
mcoco       1808    1791  0 13:01 ?        00:00:00 /usr/bin/wireplumber
mcoco       1809    1791  0 13:01 ?        00:00:00 /usr/bin/pipewire-pulse
mcoco       1814    1791  0 13:01 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
mcoco       1817    1791  0 13:01 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
mcoco       1851    1779  0 13:01 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
mcoco       1860    1851  0 13:01 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
mcoco       1915    1791  0 13:01 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
mcoco       1917    1791  0 13:01 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
mcoco       1930    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfsd
mcoco       1951    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
mcoco       1973    1791  0 13:01 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
mcoco       1997    1973  0 13:01 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
mcoco       2011    1997  0 13:01 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
mcoco       2012    1791  1 13:01 ?        00:04:31 /usr/bin/gnome-shell
mcoco       2064    1791  0 13:01 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
mcoco       2080    1791  0 13:01 ?        00:00:00 /usr/libexec/xdg-permission-store
mcoco       2082    1791  0 13:01 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
mcoco       2097    1791  0 13:01 ?        00:00:00 /usr/libexec/evolution-source-registry
mcoco       2100    1791  0 13:01 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
mcoco       2102    1791  0 13:01 ?        00:00:00 /usr/libexec/dconf-service
mcoco       2113    1791  0 13:01 ?        00:00:05 /usr/bin/ibus-daemon --panel disable
mcoco       2120    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-a11y-settings
mcoco       2123    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-color
mcoco       2124    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-datetime
mcoco       2127    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-housekeeping
mcoco       2129    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-keyboard
mcoco       2131    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-media-keys
mcoco       2144    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-power
mcoco       2149    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-print-notifications
mcoco       2151    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-rfkill
mcoco       2153    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
mcoco       2155    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-sharing
mcoco       2158    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-smartcard
mcoco       2160    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-sound
mcoco       2161    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-wacom
mcoco       2173    1791  0 13:01 ?        00:00:00 /usr/bin/spice-vdagent
mcoco       2191    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
mcoco       2220    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-printer
mcoco       2250    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
mcoco       2273    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
mcoco       2279    1791  0 13:01 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
mcoco       2284    1791  0 13:01 ?        00:00:00 /usr/libexec/goa-daemon
mcoco       2291    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
mcoco       2299    1791  0 13:01 ?        00:00:00 /usr/libexec/goa-identity-service
mcoco       2311    1791  0 13:01 ?        00:00:00 /usr/libexec/evolution-calendar-factory
mcoco       2312    2012  0 13:01 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.EF3UQ2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
mcoco       2317    2113  0 13:01 ?        00:00:00 /usr/libexec/ibus-dconf
mcoco       2318    2113  0 13:01 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
mcoco       2322    1791  0 13:01 ?        00:00:00 /usr/libexec/ibus-portal
mcoco       2346    1791  0 13:01 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
mcoco       2353    1791  0 13:01 ?        00:00:00 /usr/libexec/gvfsd-metadata
mcoco       2369    2113  0 13:01 ?        00:00:01 /usr/libexec/ibus-engine-simple
mcoco       2411    1930  0 13:01 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.17 /org/gtk/gvfs/exec_spaw/0
mcoco       2433    1791  0 13:01 ?        00:00:01 /usr/libexec/xdg-desktop-portal
mcoco       2438    1791  0 13:01 ?        00:00:00 /usr/libexec/xdg-document-portal
root        2445    2438  0 13:01 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
mcoco       2484    1791  0 13:01 ?        00:00:00 /usr/libexec/gsd-xsettings
mcoco       2513    1791  0 13:01 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
mcoco       2565    1791  0 13:01 ?        00:00:00 /usr/libexec/ibus-x11
mcoco       2571    1791  0 13:01 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
mcoco       2572    1791  0 13:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
mcoco       2573    2012  0 13:01 ?        00:00:00 /usr/libexec/mutter-x11-frames
mcoco       2592    1973  0 13:01 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
mcoco       2611    1973  0 13:01 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
mcoco       2685    1791  0 13:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        2717       1  0 13:01 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
mcoco       2816    1973  0 13:02 ?        00:00:01 /usr/bin/update-notifier
mcoco       2971    1791  0 13:09 ?        00:00:35 /usr/bin/nautilus --gapplication-service
mcoco       3006    1930  0 13:09 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.17 /org/gtk/gvfs/exec_spaw/1
mcoco       3444    1791  0 13:10 ?        00:00:01 /usr/bin/snap userd
mcoco       4150    1791  0 13:10 ?        00:00:10 /usr/libexec/gnome-terminal-server
mcoco       4158    4150  0 13:10 pts/0    00:00:00 bash
root        5192       2  0 13:17 ?        00:00:00 [kworker/5:3-events]
root        6094       2  0 14:34 ?        00:00:00 [kworker/R-tls-s]
root        6283       2  0 14:43 ?        00:00:00 [kworker/2:2-events]
root        6390       2  0 15:39 ?        00:00:00 [kworker/u12:3-events_unbound]
root        6400       2  0 15:50 ?        00:00:00 [kworker/u12:2-events_unbound]
root        6570       2  0 15:58 ?        00:00:00 [kworker/3:2-mm_percpu_wq]
root        7089       2  0 16:08 ?        00:00:00 [kworker/u12:0-events_power_efficient]
root        7134       2  0 16:35 ?        00:00:00 [kworker/u12:1-events_power_efficient]
root        7221       2  0 16:45 ?        00:00:00 [kworker/4:0-mm_percpu_wq]
root        7323       2  0 16:58 ?        00:00:00 [kworker/0:2-events]
root        7326       2  0 16:58 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root        7330       2  0 16:59 ?        00:00:00 [kworker/3:0-events]
root        7351       2  0 17:01 ?        00:00:00 [kworker/2:0-cgroup_destroy]
root        7354       2  0 17:02 ?        00:00:00 [kworker/5:0-cgroup_destroy]
root        7373       2  0 17:05 ?        00:00:00 [kworker/0:0-events]
root        7383       2  0 17:05 ?        00:00:00 [kworker/1:2-mm_percpu_wq]
root        7392       2  0 17:10 ?        00:00:00 [kworker/4:3]
mcoco       7428    2012  0 17:12 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
root        7475       2  0 17:12 ?        00:00:00 [kworker/0:1-events]
root        7496       2  0 17:12 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
root        7498       2  0 17:13 ?        00:00:00 [kworker/5:1-events]
root        7500       2  0 17:13 ?        00:00:00 [kworker/u12:4-events_power_efficient]
mcoco       7506    1791  0 17:14 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
mcoco       7935    4158 99 17:17 pts/0    00:00:00 ps -ef
